Area,rent/month/100 sq ft
"Mumbai, Amboli",13000
"Mumbai, Chakala, Andheri",13000
"Mumbai, D.N. Nagar",16000
"Mumbai, Four Bungalows",15000
"Mumbai, Lokhandwala",40000
"Mumbai, Marol",25000
"Mumbai, Sahar",8000
"Mumbai, Seven Bungalows",25000
"Mumbai, Versova",30000
"Mumbai, Mira Road",15000
"Mumbai, Bhayandar",10000
"Mumbai, Uttan",6000
"Mumbai, Bandstand Promenade",25000
"Mumbai, Kherwadi",7000
"Mumbai, Pali Hill",40000
"Mumbai, I.C. Colony",20000
"Mumbai, Gorai",12000
"Mumbai, Dahisar",11000
"Mumbai, Aarey Milk Colony",7000
"Mumbai, Bangur Nagar",NA
"Mumbai, Jogeshwari West",10000
"Mumbai, Juhu",45000
"Mumbai, Charkop",15000
"Mumbai, Poisar",20000
"Mumbai, Mahavir Nagar",18000
"Mumbai, Thakur village",25000
"Mumbai, Pali Naka",22000
"Mumbai, Khar Danda",10000
"Mumbai, Dindoshi",20000
"Mumbai, Sunder Nagar",11000
"Mumbai, Kalina",2000
"Mumbai, Naigaon",2500
"Mumbai, Nalasopara",4500
"Mumbai, Irla",15000
"Mumbai, Vile Parle",20000
"Mumbai, Bhandup",15000
"Mumbai, Amrut Nagar",17000
"Mumbai, Asalfa",5000
"Mumbai, Pant Nagar",8000
"Mumbai, Kanjurmarg",8000
"Mumbai, Nehru Nagar",7500
"Mumbai, Nahur",15000
"Mumbai, Chandivali",16000
"Mumbai, Hiranandani Gardens",20000
"Mumbai, Indian Institute of Technology Bombay campus",20000
"Mumbai, Vidyavihar",22000
"Mumbai, Vikhroli",7500
"Mumbai, Chembur",25000
"Mumbai, Deonar",18000
"Mumbai, Mankhurd",8000
"Mumbai, Mahul",NA
"Mumbai, Agripada",15000
"Mumbai, Altamount Road",35000
"Mumbai, Bhuleshwar",10000
"Mumbai, Breach Candy",30000
"Mumbai, Carmichael Road",NA
"Mumbai, Cavel",10000
"Mumbai, Churchgate",20000
"Mumbai, Cotton Green",22000
"Mumbai, Cuffe Parade",27000
"Mumbai, Cumbala Hill",30000
"Mumbai, Currey Road",25000
"Mumbai, Dhobitalao",30000
"Mumbai, Dongri",10000
"Mumbai, Kala Ghoda",50000
"Mumbai, Kemps Corner",30000
"Mumbai, Lower Parel",25000
"Mumbai, Mahalaxmi",25000
"Mumbai, Mahim",15000
"Mumbai, Malabar Hill",25000
"Mumbai, Marine Drive",30000
"Mumbai, Marine Lines",30000
"Mumbai, Mumbai Central",22000
"Mumbai, Nariman Point",35000
"Mumbai, Prabhadevi",18000
"Mumbai, Sion",30000
"Mumbai, Walkeshwar",10000
"Mumbai, Worli",15000
"Mumbai, C.G.S. colony",12000
"Mumbai, Dagdi Chawl",15000
"Mumbai, Navy Nagar",35000
"Mumbai, Hindu colony",50000
"Mumbai, Ballard Estate",30000
"Mumbai, Chira Bazaar",18000
"Mumbai, Fanas Wadi",10000
"Mumbai, Chor Bazaar",8000
"Mumbai, Matunga",40000
"Mumbai, Parel",15000
"Mumbai, Gowalia Tank",28000
"Mumbai, Dava Bazaar",18000
"Mumbai, Dharavi",NA
"Mumbai, Thane",NA
